"v zr 218/13","/rechtsprechung/v-zr-218-13"
"ii r 1/09","/rechtsprechung/ii-r-1-09"
"2 bvr 2564/16","/rechtsprechung/2-bvr-2564-16"
"viii zr 48/10","/rechtsprechung/viii-zr-48-10"
"9 azr 633/15","/rechtsprechung/9-azr-633-15"
"xii zb 89/15","/rechtsprechung/xii-zb-89-15"
"i r 30/08","/rechtsprechung/i-r-30-08"
"3 b 1/10, 3 b 1/10 (3 c 10/10)","/rechtsprechung/3-b-1-10"
"iii zb 127/15","/rechtsprechung/iii-zb-127-15"
"7 c 13/15","/rechtsprechung/7-c-13-15"
"4 azr 157/13","/rechtsprechung/4-azr-157-13"
"xi zr 38/13","/rechtsprechung/xi-zr-38-13"
"ix zb 95/10","/rechtsprechung/ix-zb-95-10"
"ix r 8/11","/rechtsprechung/ix-r-8-11"
"1 str 45/17","/rechtsprechung/1-str-45-17"
"23 w (pat) 339/05","/rechtsprechung/23-w--pat--339-05"
"5 azr 337/15","/rechtsprechung/5-azr-337-15"
"iv zr 151/15","/rechtsprechung/iv-zr-151-15"
"2 bvc 35/14","/rechtsprechung/2-bvc-35-14"
"envr 22/13","/rechtsprechung/envr-22-13"
"4 str 273/13","/rechtsprechung/4-str-273-13"
"i zr 110/10","/rechtsprechung/i-zr-110-10"
"b 6 ka 39/15 r","/rechtsprechung/b-6-ka-39-15-r"
"2 str 338/13","/rechtsprechung/2-str-338-13"
"ix zr 227/09","/rechtsprechung/ix-zr-227-09"
"1 bvr 266/18","/rechtsprechung/1-bvr-266-18"
"10 w (pat) 11/15","/rechtsprechung/10-w--pat--11-15"
"b 6 ka 22/10 r","/rechtsprechung/b-6-ka-22-10-r"
"vii r 5/10","/rechtsprechung/vii-r-5-10"
"8 b 70/16","/rechtsprechung/8-b-70-16"
"iv zr 219/12","/rechtsprechung/iv-zr-219-12"
"2 str 440/12","/rechtsprechung/2-str-440-12"
"1 bvr 1791/14","/rechtsprechung/1-bvr-1791-14"
"5 pb 6/14","/rechtsprechung/5-pb-6-14"
"3 str 427/17","/rechtsprechung/3-str-427-17"
"ix r 22/13","/rechtsprechung/ix-r-22-13"
"v r 36/14","/rechtsprechung/v-r-36-14"
"7 b 1/16","/rechtsprechung/7-b-1-16"
"xi zr 394/08","/rechtsprechung/xi-zr-394-08"
"25 w (pat) 132/09","/rechtsprechung/25-w--pat--132-09"
"28 w (pat) 51/10","/rechtsprechung/28-w--pat--51-10"
"b 1 kr 12/12 r","/rechtsprechung/b-1-kr-12-12-r"
"5 azr 473/11","/rechtsprechung/5-azr-473-11"
"b 2 u 8/14 r","/rechtsprechung/b-2-u-8-14-r"
"3 str 585/14","/rechtsprechung/3-str-585-14"
"8 c 39/09","/rechtsprechung/8-c-39-09"
"4 bn 7/13","/rechtsprechung/4-bn-7-13"
"9 a 31/15","/rechtsprechung/9-a-31-15"
"7 c 13/14","/rechtsprechung/7-c-13-14"
"x zr 72/13","/rechtsprechung/x-zr-72-13"
"b 12 kr 26/12 r","/rechtsprechung/b-12-kr-26-12-r"
"xii zb 478/13","/rechtsprechung/xii-zb-478-13"
"viii b 33/09","/rechtsprechung/viii-b-33-09"
"7 abr 20/14","/rechtsprechung/7-abr-20-14"
"v zr 199/16","/rechtsprechung/v-zr-199-16"
"i b 38/12","/rechtsprechung/i-b-38-12"
"2 azr 742/15","/rechtsprechung/2-azr-742-15"
"vii r 49/13","/rechtsprechung/vii-r-49-13"
"xa zr 74/09","/rechtsprechung/xa-zr-74-09"
"xi zb 4/10","/rechtsprechung/xi-zb-4-10"
"5 c 12/15","/rechtsprechung/5-c-12-15"
"2 bvr 549/17","/rechtsprechung/2-bvr-549-17"
"b 12 r 7/14 r","/rechtsprechung/b-12-r-7-14-r"
"2 str 433/10","/rechtsprechung/2-str-433-10"
"4 vr 18/16","/rechtsprechung/4-vr-18-16"
"4 b 77/09","/rechtsprechung/4-b-77-09"
"viii zr 276/12","/rechtsprechung/viii-zr-276-12"
"10 azr 637/13","/rechtsprechung/10-azr-637-13"
"10 azr 744/11","/rechtsprechung/10-azr-744-11"
"ii zr 291/14","/rechtsprechung/ii-zr-291-14"
"b 14 as 107/10 r","/rechtsprechung/b-14-as-107-10-r"
"b 6 ka 13/16 r","/rechtsprechung/b-6-ka-13-16-r"
"6 azr 1008/12","/rechtsprechung/6-azr-1008-12"
"iv zr 496/14","/rechtsprechung/iv-zr-496-14"
"vii r 12/10","/rechtsprechung/vii-r-12-10"
"i r 89/09","/rechtsprechung/i-r-89-09"
"5 c 8/14","/rechtsprechung/5-c-8-14"
"29 w (pat) 70/03","/rechtsprechung/29-w--pat--70-03"
"25 w (pat) 55/11","/rechtsprechung/25-w--pat--55-11"
"27 w (pat) 18/12","/rechtsprechung/27-w--pat--18-12"
"2 bvr 1222/14","/rechtsprechung/2-bvr-1222-14"
"xii zr 31/17","/rechtsprechung/xii-zr-31-17"
"ix zr 65/09","/rechtsprechung/ix-zr-65-09"
"v zb 94/13","/rechtsprechung/v-zb-94-13"
"2 c 78/10","/rechtsprechung/2-c-78-10"
"2 c 47/16","/rechtsprechung/2-c-47-16"
"5 str 78/17","/rechtsprechung/5-str-78-17"
"2 bvr 426/18, 2 bvr 444/18, 2 bvr 445/18, 2 bvr 459/18, 2 bvr 509/18, 2 bvr 510/18, 2 bvr 519/18, 2 bvr 520/18, 2 bvr 529/18, 2 bvr 538/18, 2 bvr 547/18, 2 bvr 548/18, 2 bvr 569/18, 2 bvr 570/18, 2 bvr 582/18, 2 bvr 583/18, 2 bvr 592/18, 2 bvr 593/18, 2 bvr 627/18","/rechtsprechung/2-bvr-426-18"
"b 2 u 10/10 r","/rechtsprechung/b-2-u-10-10-r"
"xii zb 192/11","/rechtsprechung/xii-zb-192-11"
"b 14 as 315/12 b","/rechtsprechung/b-14-as-315-12-b"
"viii zr 70/09","/rechtsprechung/viii-zr-70-09"
"8 azr 114/09","/rechtsprechung/8-azr-114-09"
"3 str 444/16","/rechtsprechung/3-str-444-16"
"iii r 31/15","/rechtsprechung/iii-r-31-15"
"2 b 61/14","/rechtsprechung/2-b-61-14"
"x r 2/14","/rechtsprechung/x-r-2-14"
"7 vr 13/11, 7 vr 13/11 (7 a 22/11)","/rechtsprechung/7-vr-13-11"
"4 azr 932/08","/rechtsprechung/4-azr-932-08"
"4 str 311/13","/rechtsprechung/4-str-311-13"
"26 w (pat) 535/11","/rechtsprechung/26-w--pat--535-11"
"29 w (pat) 151/10","/rechtsprechung/29-w--pat--151-10"
"26 w (pat) 559/12","/rechtsprechung/26-w--pat--559-12"
"xi r 32/09","/rechtsprechung/xi-r-32-09"
"kvr 10/16","/rechtsprechung/kvr-10-16"
"2 b 67/12","/rechtsprechung/2-b-67-12"
"b 14 as 188/11 r","/rechtsprechung/b-14-as-188-11-r"
"27 w (pat) 72/12","/rechtsprechung/27-w--pat--72-12"
"b 3 kr 12/11 r","/rechtsprechung/b-3-kr-12-11-r"
"xii zb 234/13","/rechtsprechung/xii-zb-234-13"
"ix zb 145/08","/rechtsprechung/ix-zb-145-08"
"v zr 181/09","/rechtsprechung/v-zr-181-09"
"iii b 3/12","/rechtsprechung/iii-b-3-12"
"v r 18/08","/rechtsprechung/v-r-18-08"
"27 w (pat) 19/13","/rechtsprechung/27-w--pat--19-13"
"xii zb 278/13","/rechtsprechung/xii-zb-278-13"
"1 bvr 539/13","/rechtsprechung/1-bvr-539-13"
"5 str 512/12","/rechtsprechung/5-str-512-12"
"3 str 513/15","/rechtsprechung/3-str-513-15"
"xi r 56/10","/rechtsprechung/xi-r-56-10"
"iv zr 209/12","/rechtsprechung/iv-zr-209-12"
"2 str 31/10","/rechtsprechung/2-str-31-10"
"i r 11/15","/rechtsprechung/i-r-11-15"
"i r 25/10","/rechtsprechung/i-r-25-10"
"8 c 6/11","/rechtsprechung/8-c-6-11"
"29 w (pat) 213/10","/rechtsprechung/29-w--pat--213-10"
"2 wd 6/15","/rechtsprechung/2-wd-6-15"
"b 9 sb 48/11 b","/rechtsprechung/b-9-sb-48-11-b"
"2 bvr 1771/09","/rechtsprechung/2-bvr-1771-09"
"1 str 345/10","/rechtsprechung/1-str-345-10"
"iii b 109/16","/rechtsprechung/iii-b-109-16"
"x b 110/11","/rechtsprechung/x-b-110-11"
"v b 49/15","/rechtsprechung/v-b-49-15"
"30 w (pat) 4/09","/rechtsprechung/30-w--pat--4-09"
"2 bvr 2553/09","/rechtsprechung/2-bvr-2553-09"
"4 azr 250/15","/rechtsprechung/4-azr-250-15"
"1 azr 764/13","/rechtsprechung/1-azr-764-13"
"6 azr 691/14","/rechtsprechung/6-azr-691-14"
"3 azr 44/14","/rechtsprechung/3-azr-44-14"
"i b 18/12","/rechtsprechung/i-b-18-12"
"v zr 102/09","/rechtsprechung/v-zr-102-09"
"2 b 40/16","/rechtsprechung/2-b-40-16"
"3 c 21/11","/rechtsprechung/3-c-21-11"
"6 b 22/10","/rechtsprechung/6-b-22-10"
"6 b 36/11","/rechtsprechung/6-b-36-11"
"24 w (pat) 506/12","/rechtsprechung/24-w--pat--506-12"
"anwz (brfg) 9/11","/rechtsprechung/anwz--brfg--9-11"
"9 azr 358/15","/rechtsprechung/9-azr-358-15"
"iii r 52/12","/rechtsprechung/iii-r-52-12"
"2 str 29/15","/rechtsprechung/2-str-29-15"
"5 azr 457/10","/rechtsprechung/5-azr-457-10"
"vii zb 21/13","/rechtsprechung/vii-zb-21-13"
"2 b 33/11","/rechtsprechung/2-b-33-11"
"8 b 7/13","/rechtsprechung/8-b-7-13"
"vii zr 28/13","/rechtsprechung/vii-zr-28-13"
"xi zr 22/12","/rechtsprechung/xi-zr-22-12"
"8 bn 2/14, 8 bn 2/14 (8 cn 1/16)","/rechtsprechung/8-bn-2-14"
"25 w (pat) 1/15","/rechtsprechung/25-w--pat--1-15"
"b 13 r 85/09 r","/rechtsprechung/b-13-r-85-09-r"
"viii zr 289/13","/rechtsprechung/viii-zr-289-13"
"4 b 53/09","/rechtsprechung/4-b-53-09"
"9 c 5/16","/rechtsprechung/9-c-5-16"
"3 str 630/14","/rechtsprechung/3-str-630-14"
"4 azr 78/11","/rechtsprechung/4-azr-78-11"
"vi b 98/11","/rechtsprechung/vi-b-98-11"
"b 6 ka 15/10 r","/rechtsprechung/b-6-ka-15-10-r"
"5 azr 843/14","/rechtsprechung/5-azr-843-14"
"ix r 47/12","/rechtsprechung/ix-r-47-12"
"ix r 40/09","/rechtsprechung/ix-r-40-09"
"2 bvr 504/08, 2 bvr 1193/08","/rechtsprechung/2-bvr-504-08"
"ii zb 23/11","/rechtsprechung/ii-zb-23-11"
"1 b 5/18","/rechtsprechung/1-b-5-18"
"iii zr 161/13","/rechtsprechung/iii-zr-161-13"
"3 pkh 3/15, 3 pkh 3/15 (3 b 39/15)","/rechtsprechung/3-pkh-3-15"
"viii zr 214/16","/rechtsprechung/viii-zr-214-16"
